country,,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id,country
brazil,36,rayyan-335336884,"Agribusiness opportunity costs and environmental legal protection: Investigating trade-off on hotspot preservation in the state of São Paulo, Brazil",2009,1,1,,,44.0,2.0,,"Igari A.T., Tambosi L.R., Pivello V.R.",,,,,"Prior to deforestation, São Paulo State had 79,000 km 2 covered by Cerrado (Brazilian savanna) physiognomies, but today less than 8.5% of this biodiversity hotspot remains, mostly in private lands. The global demand for agricultural goods has imposed strong pressure on natural areas, and the economic decisions of agribusiness managers are crucial to the fate of Cerrado domain remaining areas (CDRA) in Brazil. Our aim was to investigate the effectiveness of Brazilian private protected areas policy, and to propose a feasible alternative to promote CDRA protection. This article assessed the main agribusiness opportunity costs for natural areas preservation: the land use profitability and the arable land price. The CDRA percentage and the opportunity costs were estimated for 349 municipal districts of São Paulo State through secondary spatial data and profitability values of 38 main agricultural products. We found that Brazilian private protected areas policy fails to preserve CDRA, although the values of non-compliance fines were higher than average opportunity costs. The scenario with very restrictive laws on private protected areas and historical high interest rates allowed us to conceive a feasible cross compliance proposal to improve environmental and agricultural policies. © 2009 Springer Science+Business Media, LLC.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,,brazil
brazil,40,rayyan-335336970,The use of fi rewood for home consumption and the fabrication of handcrafted ceramics in a semi-arid region of Northeast Brazil,2019,1,1,,,33.0,2.0,,"da Silva M.C.G., Ramos M.A., Alves A.G.C.",,,,,"This study aimed to identify, analyze and compare different uses of firewood for home consumption and for handicraft work in rural communities in Altinho, Pernambuco, Brazil. Semi-structured and free-listing interviews were performed to catalog the plants that were better known by locals and that were mostly used as firewood for home consumption and handicraft work. Two in situ inventories were performed at the homes of the study location in order document the plants that were actually used. A total of 39 species of woody plants belonging to 16 botanical families were registered. The most widely-known species for both uses were also the species that were most used and preferably-used-as-wood by the population. The plants most preferably-used-as-wood by the participants, which were selected as samples, were also those that the participants identified as having superior quality. Thus, there is a small group of plants that is used for both activities, and thus more vulnerable to extractivism, and which ought to be conserved. Alternative management strategies are needed that secure the availability of these species in the future to meet the needs of the local population and to conserve biodiversity. © 2019, Sociedade Botanica do Brasil. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil",,,brazil
brazil,148,rayyan-339919414,The Practice of Burning Savannas for Hunting by the Xavante Indians Based on the Stars and Constellations,2013,1,1,,,26.0,4.0,,"de Melo M.M., Saito C.H.",,,,,"The cultural basis for the practice of savanna burning for hunting by the Xavante Indians was investigated. Fieldwork was performed in the Indigenous Lands of Areões and Pimentel Barbosa in Mato Grosso State, Brazil. This study showed that natural events are still relevant in the cognitive universe of the Xavante and are considered in the people's decision-making processes. The eldest village members select the best location and time to start a fire. Their decision is based on the winds and the positions of the stars. The constellations that have a special meaning for the Xavante are rather similar to those acknowledged by Western culture. The results of the study support the conclusion that a dialogue between the traditional knowledge of the Xavante about fire management and the scientific fundamentals of fire ecology can contribute to a broader understanding of the management of fires in the cerrado. © 2013 Copyright Taylor and Francis Group, LLC.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,burning,land use,indigenous",,,brazil
brazil,137,rayyan-339919348,"Ecogeography and human scenario in northeast Roraima, Brazil",1997,1,1,,,49.0,4.0,,Schaefer C.E.R.,,,,,"In northern Brazil, the Northeast part of the State of Roraima is the most complex environment that occurs under Amazonian conditions. The 'environmental stratification' approach, based essentially on pedological, geomorphological and vegetational studies was used, providing a rapid assessment of the ecogeography, its long-term possibilities and constraints. The integrated land use assessment of the stratified units was discussed. Among the four units, three main units occur on the extensive plain surface, forming a climatic gradient. The Caracarai-Anaua unit is dominated by forest and campina vegetation, associated with latosols and hydromorphic podzols. The Lavrado unit is dominated by open grass savanna, with fire-resistant species and gallery forest featuring Buriti palms, resembling a 'dambo'-like landscape. In most cases, the boundaries between these two units are abrupt forest/savanna contacts. The Surumu unit is characterized by xerophytic savanna with cactus, with semiarid species and sodic soils occurring on volcanic-acid rocks. Overall, the present tendency is for an invasion of forest vegetation into savanna areas. The process is directly related to the evolution of the 'veredas de buritis' ecosystem and the capture of closed lakes and 'dambo'-like swamps as 'veredas de buritis' extend and landscape rejuvenation occurs. The main agronomic constraint is the very low nutrient status of the soils, allied to the high aluminum saturation in the Caracarai-Anaua and Lavrado units, and the high sodium content, erosion hazard and stony soils in the Surumu unit. The carrying capacity and the resilience against changes of the units are generally very low. In spite of that, the overall extent of land colonization in Roraima increased by about 70% from 1980 to 1985, although small settlements increased by a disproportionate 242% over that period, mainly as a result of colonization in the forested Caracarai-Anaua unit; in contrast, there was an absolute reduction of 23% in the number of very large settlements. The official land colonization policy was discussed, illustrating the human scenario in NE Roraima. The absence of strategies for rural development is evident, and the current pattern of high mobility of these 'colonos' (settlers) associated with seasonal burning and gold-mining are direct consequences of this illconceived policy. The discredited strategy of cattle ranching is dominant, but no long-term regional planning for development exists. The pattern of human occupation in NE Roraima accords with the pattern of land use in other parts of Amazonia, and highlights the difficulties facing policies seeking to intensify the use of forest land and to achieve effective land colonization. Powerful ecological constraints at the smallholder level prevent sustained farming and development. It is likely that, given these considerable social and ecological constraints, the development model pursued in Roraima today will not provide an economic solution for sustaining the livelihood of most of its inhabitants, perpetuating the present social inequality in any foreseeable scenario.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil",,,brazil
brazil,146,rayyan-339919401,Maldevelopment revisited: Inclusiveness and social impacts of soy expansion over Brazil's Cerrado in Matopiba,2021,1,1,,,139.0,,,"Russo Lopes G., Bastos Lima M.G., Reis T.N.P.D.",,,,,"Cash crops such as soy, cocoa and oil palm have expanded at great speed in developing countries, often at the expense of customary landowners, traditional livelihoods, and biodiversity. These landscape transformations have global drivers, but they are often justified by a dominant rationale that they bring development to otherwise underprivileged regions. Such development claims, however, are either taken at face value or conflated with simplistic macroeconomic indicators that gloss over most social issues. Those claims may, therefore, hide severe inequities. To better analyze these phenomena, we revisit and conceptualize the notion of maldevelopment, here defined as inequitable and exclusive processes of change that deprive most local stakeholders of their social and material capabilities. Using an inclusiveness framework, we then conduct an in-depth analysis of soy expansion in the Matopiba region of Brazil's Cerrado. This rich biome with a mosaic of land uses forms an agriculture-savanna landscape that is rapidly giving way to soy monoculture – under the guise of development. Through fieldwork and primary data collection in 18 Matopiba municipalities, we have interviewed 62 stakeholders in that landscape transformation from different social groups. We assess how soy expansion has altered access and allocation patterns of key resources such as land and water, as well as participation in the local food systems and governance initiatives. When looking beyond general economic indicators, our findings expose a brutally exclusive process of environmental degradation and resource dispossession. Yet the stakeholders we interviewed do not want to simply be left undisturbed but to experience inclusive development instead, with participation in governance and support for bottom-up initiatives. We conclude that the frequently cited claim that industrial monocultures bring development to underserved regions deserves far greater scrutiny, and that inclusiveness in the design and execution of interventions is crucial for avoiding maldevelopment. © 2020 The Author(s)","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,,brazil
brazil,49,rayyan-335337203,Seasonal fire management by traditional cattle ranchers prevents the spread of wildfire in the Brazilian Cerrado,2019,1,1,,,48.0,8.0,,"Eloy L., Schmidt I.B., Borges S.L., Ferreira M.C., dos Santos T.A.",,,,,"The use of fire by cattle ranchers is a major source of conflict between conservationists and local communities in tropical savannas. We evaluate the role of traditional pastoral management in wildfire prevention in two protected areas within the Brazilian savanna. Fine-grain field data from transect walks and interviews were combined with geospatial data at landscape scale to compare fire regimes in community-managed areas with those in government-managed areas. Local pastoral management creates seasonal mosaic patterns of burnings performed for productive activities and for deliberate landscape management, i.e. to protect fire-sensitive vegetation and avoid wildfires. Whereas government-managed areas were affected by large biennial late dry season wildfires, community-managed areas with a regular fire regime suffered less damage. These systems are under threat and poorly understood by researchers and environmental managers. In order to improve fire management in tropical savannas, greater understanding of pastoral management practices and their spatiotemporal dimensions is required. © 2018, Royal Swedish Academy of Sciences.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,,brazil
brazil,153,rayyan-339919460,"The legacy of colonial fire management policies on traditional livelihoods and ecological sustainability in savannas: Impacts, consequences, new directions",2019,1,1,,,232.0,,,"Moura L.C., Scariot A.O., Schmidt I.B., Beatty R., Russell-Smith J.",,,,,"Land occupation and management systems have defined fire regimes and landscapes for millennia. The savanna biome is responsible for 86% of all fire events, contributes to 10% of the total carbon emissions annually and is home to 10% of the human population. European colonization has been associated with the implementation of fire suppression policies in many tropical savanna regions, markedly disrupting traditional fire management practices and transforming ecosystems. In this paper we assess savanna burning approaches from pre-colonial to contemporary eras in three regions: northern Australia, southern Africa and Brazil. In these regions, fire suppression policies have led to (i) conflicts between government authorities and local communities; (ii) frequent late dry season wildfires and/or (iii) woody encroachment. Such consequences are facilitating changes to fire management policies, including recognition and incorporation of traditional ecological knowledge in contemporary community-based adaptive savanna fire management. Such programs include implementation of prescribed early dry season fires and, in some regions, generating income opportunities for rural and traditional communities through the reduction of late dry season wildfires and associated greenhouse gas emissions. We present a brief history of fire management policies in these three important savanna regions, and identify ongoing challenges for implementation of culturally and ecologically sustainable fire management policies. © 2018","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,context,Australia,South Africa",,,brazil
brazil,52,rayyan-335337303,"An evaluation of contemporary savanna fire regimes in the Canastra National Park, Brazil: Outcomes of fire suppression policies",2018,1,1,,,205.0,,,"Batista E.K.L., Russell-Smith J., França H., Figueira J.E.C.",,,,,"Fire has shaped plant evolution and biogeochemical cycles for millions of years in savanna ecosystems, but changes in natural fire regimes promoted by human land use threaten contemporary conservation efforts. In protected areas in the Brazilian savannas (Cerrado), the predominant management policy is fire suppression, reflecting a cultural heritage which considers that fire always has a negative impact on biodiversity. Here we compare resultant fire-regimes in Canastra National Park (CNP), southeast Brazil, associated with areas under and without fire suppression management, based on a 16-year Landsat imagery record. In open grasslands of the Canastra plateau (CP), firefighting is undertaken under government-sanctioned regulation, whereas in the Babilonia sector, non-sanctioned fire management is undertaken by small farmers to promote cattle grazing and cropping. Fire regimes in the Canastra sector are characterized by few, very large, late dry season wildfires recurring at intervals of two years. Fire regimes in lowlands of the Babilonia sector are characterized by many small-scale, starting at the beginning of the dry season (EDS). In Babilonia uplands fire regimes are characterized by higher frequencies of large fires. The study illustrates major challenges for managing fire-prone areas in conflict-of-interest regions. We suggest that management planning in CNP needs to effectively address: i) managing conflicts between CNP managers and local communities; and ii) fire management practices in order to achieve more ecologically sustainable fire regimes. The study has broader implications for conservation management in fire-prone savannas in South America generally. © 2017 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,southeastern",,,brazil
brazil,152,rayyan-339919451,Vereda and Murundu wetlands and changes in Brazilian environmental laws: challenges to conservation,2015,1,1,,,23.0,2.0,,"Rosolen V., de Oliveira D.A., Bueno G.T.",,,,,"Vereda and Murundu wetlands are widespread in the Cerrado (Brazilian savannah). The wetlands occupy topographic depressions on the flat plateau, which are permanently or seasonally waterlogged, with topsoil that has high contents of organic matter and endemic fauna and flora. These systems are important for regulating the water flux in the riverine network. Despite their environmental importance, the wetlands are largely neglected in planning policy, environmental legislation and scientific research, resulting in their degradation by the expansion and intensification of agriculture. In the studied catchment, a typical tropical savannah landscape and a region of typical agribusiness land use in the state of Minas Gerais was considered, where the Vereda and Murundu ecosystems are completely surrounded by agriculture. The transition zone between dry and wet soils is the most fragile and susceptible to degradation because it is subjected to the continuous expansion of land tillage. If the agribusiness model deployed in the region is responsible for the increase in wetland destruction, then changes in regulatory laws to define and preserve permanent preservation areas in the Brazilian Forest Code, for the years 1934, 1965, 1989 and in the two versions from 2012, are an impediment to the effectiveness of forest and wetlands protection and the policy of sustainable development. © 2014, Springer Science+Business Media Dordrecht.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,,brazil
brazil,163,rayyan-339919523,Drought proofing rural economies in semi-arid regions: Lessons from north-east Brazil,2013,1,1,,,,,,Magalhães A.R.,,,,,"The Brazilian semi-arid is located in the north-east of Brazil (NEB), the less developed area of the country. In the interior of the NEB there are the semi-arid backlands, known as sertão, with high climate variability, high evapotranspiration rates, water deficits during most of the year, shallow soils and savannah-like vegetation called caatinga. Society and economy of the sertão, depended entirely on its climate. In the NEB, droughts heavily impact on rainfed agriculture, water supply, economy, health, food production, employment and migration. Before government intervention, society tries to adjust to the drought crisis. A range of rural programmes started to be implemented, to promote integrated rural development. Due to regional economic growth and diversification, the economy of the NEB is much less vulnerable to climate variations than it was years ago. © 2013 John Wiley & Sons, Ltd.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,caatinga",,,brazil
brazil,182,rayyan-339919797,Afforestation in the rupestrian grasslands: The augmenting pressure of eucalyptus,2016,1,1,,,,,,"Ribas R.P., Caetano R.M., Gontijo B.M., de Azevedo Xavier J.H.",,,,,"For at least 30 years, the expansion of eucalyptus plantations in municipalities like Grão-Mogol and Itamarandiba, in Minas Gerais State, has been provoking considerable impacts on ecosystems and human communities in the rocky fields of the Espinhaço Mountain Range. From an environmental point of view, eucalyptus monocultures fragment the areas hitherto preserved of the Cerrado (savannah) biome, leading to loss of connectivity and hampering reproduction of plants and animals. The removal of native vegetation reduces the reproductive capacity of fauna, which in turn, interferes with the resilience capacity of savannah vegetation areas still preserved. In socio-economic terms, the afforestation contributes to the concentration of income and boosts the rural exodus and uncontrolled urbanization process. While afforestation projects can be seen, individually, as economically viable activities, systemically they can result in significant externalities, especially when conducted on large scale, with environmental and social losses that sooner or later will lead to economic unsustainability. This article highlights how the expansion of eucalyptus plantations can be harmful when it produces a homogeneous landscape. The authors hope that this can be an issue for the discussion about land management in its broadest sense. © Springer International Publishing Switzerland 2016.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,,brazil
brazil,138,rayyan-339919352,"Local perceptions of jaguar conservation and environmental justice in Goiás, Matto Grosso and Roraima states (Brazil)",2018,1,1,,,13.0,,,"Bredin Y.K., Lescureux N., Linnell J.D.C.",,,,,"Wildlife conservation often leads to various conflicts with other human activities, resulting in concerns about the justice of conservation. Although species’ protection – notably of large carnivores – can have negative consequences for economic interests and human well-being, environmental justice issues related to species conservation are rarely explored. In Brazil, jaguars (Panthera onca) have become flagships for a series of conservation initiatives. Whereas jaguars’ direct impact on cattle farming has been studied, their influence on other rural stakeholders is poorly understood. Here we study local people's views on jaguars and jaguar conservation across the Cerrado savannah and the Amazon rainforest biomes. Using Q-methodology, we identified five distinct narratives regarding jaguar conservation in relation to environmental justice issues. These were shared among fishermen, tourist guides, cattle breeders, crop farmers and jaguar hunters. Interestingly, we did not find any systematic differences in subjective views, across regions, or professions/livelihood forms. However, our results showed a strong desire among the stakeholders for more local empowerment to influence the management of both jaguars and nature where they live. Moreover, we detected a widespread discontent with the lack of consistent implementation and predictable enforcement of environmental laws. © 2017 The Authors","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,,brazil
colombia,161,rayyan-339919512,Long-term beef production from pastures established with and without annual crops compared with native savanna in the Eastern Plains of Colombia: A compilation and analysis of on-farm results 1979-2016,2019,1,1,,,7.0,1.0,,"Vera R.R., Garcés P.H.",,,,,"The Eastern Plains of Colombia (""Llanos"") are made up of acid soils with low nutrient concentrations covered by tropical savannas, but they constitute a very important land resource for the country. The Llanos have traditionally supported extensive beef cattle production systems but are increasingly in demand for food, feed and oil production. The establishment of improved tropical pastures is a continuing trend as a means of intensifying beef production. Published data and the authors' own on-farm databases were collated and analyzed to estimate commercial cattle weight gains. A total of 198 records representing pastures directly drilled into native savanna and pastures undersown with rain-fed upland rice and maize were available for the 1979-2016 period, and were compared with savanna-based beef production. Records were available for sown paddocks 1-15 years in age that were managed solely by ranchers or by consensus between ranchers and researchers. Performance was not affected by who made the management decisions. Pastures sown in association with maize largely out-yielded all others, but observations on these paddocks were restricted to only 3 years and there was a steep fall in production with age. Differences between conventionally established and riceassociated pastures decreased rapidly over time, and production from these pastures did not differ over the longer term. Pasture age and stocking rate during the rainy season were the major factors influencing output from all systems. Overall, adjusted, long-term weight gains per year ranged between 11 and 386 kg/ha for savanna and maize undersown pastures. The data suggest a need to document long-term planned, regular, crop-pasture rotations, but none was available. The analyses provide valuable, long-term estimates of realized beef production under commercial conditions that should assist in decision-making by graziers and policy makers. © 2019.Los Llanos Orientales de Colombia se caracterizan por sabanas tropicales formadas sobre suelos ácidos, pobres en nutrientes, pero constituyen un recurso de tierras muy importante para el país. Su uso tradicional es la producción extensiva de ganado de carne pero hay una demanda creciente por la producción de ganado y cultivos, así como la explotación de petróleo. El reemplazo de las pasturas nativas de baja calidad por pasturas mejoradas es un proceso continuo para intensificar la producción ganadera. Se compilaron datos publicados, así como las bases de datos de los autores, para estimar las ganancias de peso vivo a nivel de fincas. Se dispuso de 198 registros que incluían potreros de sabana y de pasturas que se sembraron directamente o en asociación con maíz o arroz de secano. Los registros incluyeron casos de 1 a 15 años de duración. No se encontraron diferencias según las decisiones de manejo tomadas por el productor, o como resultado de discusión con investigadores. Pasturas establecidas bajo maíz superaron largamente la producción de las demás, pero los datos se refieren solo a tres años de registro y mostraron una caída pronunciada con la edad. Las diferencias iniciales entre pasturas convencionales y las establecidas con arroz desaparecieron en el largo plazo. Las ganancias anuales de peso a largo plazo y ajustadas estadísticamente variaron entre 11 y 386 kg por hectárea para sabana y el sistema maíz-pasto. La edad de las pasturas y la carga animal durante la estación lluviosa fueron los factores más importantes en determinar la producción de peso vivo. Se sugiere la necesidad de documentar la producción a largo plazo con base en rotaciones regulares y planeadas entre cultivos y pastos. Los resultados disponibles suministran estimados realistas de producción de carne a largo plazo en condiciones comerciales y deberían asistir en la toma de decisión por ganaderos y tomadores de decisiones políticas. © 2019.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: llanos,colombia",,,colombia
colombia,81,rayyan-339918971,Historical patterns and drivers of landscape change in Colombia since 1500: A regionalized spatial approach,2008,1,1,,,98.0,1.0,,"Etter A., McAlpine C., Possingham H.",,,,,"The extent and the spatial patterns of landscape transformation we observe today are the result of the historic human settlement process, often dating back hundreds or thousands of years. Analyzing and reconstructing those historical patterns helps to advance the understanding of the dynamics and persistence of present-day ecosystems. This article explores this reconstruction by identifying and analyzing historic drivers of landscape change for seven periods between 1500 and 2000, and presents historical land use maps showing major trends and impacts on natural ecosystems. Historic land use maps were built using an ecosystem map of 1998 and a ""preclearing"" ecosystem map, by constraining the spatial change of transformed areas using data on accessibility to rivers and roads, elevation, slope, moisture availability, and settlement areas. We estimate the transformed area rose from approximately 15 Mha in 1500 to 42 Mha in 2000, and land use changed from cropping in 1500 to predominantly grazing in 2000. Demographic impacts of colonization and the introduction of cattle were major drivers of change, but rates and trends of land cover change varied between regions and from period to period. The most impacted ecosystems have been the Andean and tropical dry forests, with the most recent trends toward clearing of humid lowland forests, especially in the Amazon and Pacific. Some landscapes have been subject to strong human influence continuously for more than 500 years, whereas others have been transformed for less than thirty years. We discuss the relevance of a historical approach for guiding conservation goals, ecological restoration efforts, and research hypotheses.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: colombia,land use pathways",,,colombia
colombia,171,rayyan-339919647,How to protect free flowing rivers: The bita river ramsar site as an example of science and management tools working together,2021,1,1,,,13.0,4.0,,"Suárez C.F., Paez-Vasquez M., Trujillo F., Usma J.S., Thieme M., Bassi A.M., Naranjo L.G., Costanzo S., Manrique O., Pallaske G., Flechas J.",,,,,"The Orinoco river basin is the third largest river in the world by volume. Its catchment encompasses 27 major sub-basins including the Bita with a catchment area of about 825,000 ha, which originates in the Colombian high plains in the Llanos ecoregion. It has been recognized as a priority area for conservation through different gap analyses and overall determined to have good health according to the Orinoco report card 2016. The natural climate and hydrologic processes, and their synergies with flooded forests, savannas, wetlands, species diversity and local economic activities, are part of a dynamic and sensitive system. With the purpose of conserving the ecological, social and cultural benefits that it brings, the Colombian Government, with the support of regional and local civil society organizations, promoted the designation of a conservation area. Technical exercises were carried out including biological and socioeconomic surveys, local stakeholder consultations and future scenario modeling. In June 2018, the Bita River basin was designated as the largest Ramsar site in Colombia, providing a worldwide example of explicit protection of riverine systems. In order to maintain this free-flowing river, land use and fisheries management, in conjunction with other conservation actions, are being implemented and provide a model of protection for freshwater ecosystems that could be replicated elsewhere. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: llanos,orinoco,colombia",,,colombia
colombia,5,rayyan-335335997,"Participatory analysis of ecosystem services in a protected area of the tropical dry forest (TDF), Colombia [Análisis participativo de servicios ecosistémicos en un área protegida del bosque seco tropical (bs-T), Colombia]",2021,1,1,,,24.0,1.0,,"Cárdenas-Camacho L.M., Díaz S., Gómez-Anaya W., Rojas-Rojas J.E., López-Camacho R.",,,,,"The state of degradation faced by tropical dry forest ecosystems, in different geographical scales, prioritizes their conservation. In this study, a participatory and multicriteria analysis of ecosystem services -ESassociated with current coverages in the tropical dry forest life zone in a protected area, was realized. The ES were spatialized on a local scale, to project management guidelines, and were prioritized and characterized through interviews with key stakeholders. For the approach to the ecosystem functioning, indicators of processes and ecosystem structure were established based on information of soils, flora, fauna and drivers of change. It was found that the most important ES are agricultural production and drinking water supply. The ecosystem functioning was low and very low in agricultural systems, low and medium in livestock systems, and high and very high in natural systems. It is recommended to implement sustainable and participatory conservation strategies. © 2021 Universidad Distrital Francisco Jose de Caldas. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: colombia",,,colombia
colombia,181,rayyan-339919787,Pasture renovation practices of farmers in the neotropical savannahs,1998,1,1,,,9.0,1.0,,"Vera R.R., Hoyos P., Moya M.C.",,,,,"Degradation of sown pastures in the neotropics is a well known but poorly documented phenomenon. The paper reports the results of a survey conducted in the eastern savannahs of Colombia to quantify farmers' reactions to perceived pasture degradation. The survey was conducted in an area of 23644 km2. The sample consisted of 46 farms, which had 19012 ha of Brachiaria decumbens pastures distributed in 374 paddocks. Of these paddocks, 196 had been sown with vegetative seed, and 281 had received modest rates of P fertilization at planting. Pastures sown on flat lands had younger modal ages (three years) and were renovated more frequently than those sown on hilly or dissected savannahs (10 years). These differences were probably a result of variations in infrastructure and relative stage of development of the two topographies, but slight differences in inherent soil fertility may also have played a role. We found no relationship between grazing management and frequency of pasture renovation. Implications for future research on pasture reclamation are discussed. © 1998 John Wiley &amp; Sons, Ltd.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: pasture,colombia,actor focus",,,colombia
ecuador,112,rayyan-339919141,History of natural resource use and environmental impacts in an interfluvial upland forest area in Western Amazonia,2014,1,1,,,192.0,1.0,,Siren A.,,,,,"Much of the research done on environmental impacts by Amazonian indigenous peoples in the past focus on certain areas where archaeological remains are particularly abundant, such as the Amazon River estuary, the seasonally inundated floodplain of the lower Amazon, and various sites in the forest-savannah mosaic of the southern Amazon. The environmental history of interfluvial upland areas has received less attention. This study reconstructed the history of human use of natural resources in an upland area of 1400 km 2 surrounding the indigenous Kichwa community of Sarayaku in the Ecuadorian Amazon, based on oral history elicited from local elders as well as historical source documents and some modern scientific studies. Although data is scarce, one can conclude that the impacts of humans on the environment have varied in time and space in quite intricate ways. Hunting has affected, and continues affecting, basically the whole study area, but it is now more concentrated in space than what it has probably ever been before. Also forest clearing has become more concentrated in space but, in addition, it has gone from affecting only hilltops forests to affecting alluvial plains as well as hilltops and, lately, also the slopes of the hills.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: ecuador",,,ecuador
ecuador,96,rayyan-339919023,Cropping systems are homogenized by off-farm income – Empirical evidence from small-scale farming systems in dry forests of southern Ecuador,2019,1,1,,,82.0,,,"Ochoa. M W.S., Härtl F.H., Paul C., Knoke T.",,,,,"Diversified agricultural landscapes have been shown to provide a wide range of ecosystem services. It is often stated that the main motivation behind growing multiple crops within a farm is to buffer farm income against market and climate risks. However, household characteristics, particularly the amount of off-farm income may also influence farm diversity. While the drivers of diversifying farm income have been investigated extensively, the ecologically important level of land-use diversity on a farm has seldom been used as a dependent variable. Based on data from 163 households, this paper analyzes the impact of social, economic and demographic household characteristics on crop diversification for farms located around the Laipuna Reserve in the dry forests of southern Ecuador. Using a Heckman two-step regression model, we identified factors that influence a) the probability that a farm will be diversified (PD) and b) the degree of diversification at the farm level (LUD), quantified by the Shannon index. We found that PD is positively related to the percentage of household members who depend on family income but do not work (economic dependence ratio), as well as river access and available family labor force. PD is inversely related to access to financial support (i.e. social payments and credits) and off-farm income. LUD is positively related to the number of household members and the age of the head of the household, and correlates negatively with labor force, financial support and off-farm income. Our results demonstrate that land-use diversification is not only a strategy to reduce risk, but it is also driven by farmers’ efforts to meet household, mainly subsistence, needs. Moreover, we also demonstrate that when households have access to financial support and off-farm income, the pressure to diversify their crops diminishes. Finally, we argue that forest and agricultural policies should impose instruments to support land-use diversification financially, while acknowledging the importance of financial support and off-farm income for household economies. Strategies to reduce poverty should be accompanied by direct support of land-use diversification, infrastructure development and agricultural training. © 2018 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: ecuador,croplands,socioeconomic",,,ecuador
peru,93,rayyan-339919017,An ecosystem approach to restoration and sustainable management of dry forest in southern Peru,2010,1,1,,,65.0,4.0,,"Whaley O.Q., Beresford-Jones D.G., Milliken W., Orellana A., Smyk A., Leguía J.",,,,,"Summary: The dry forest of the Peruvian south coast has undergone an almost total process of deforestation. Populations here have increased exponentially through immigration supplying labour to urban coastal development, and demonstrably unsustainable agro-industrial expansion for export markets. Society has become dislocated from local traditions of environmental and resource management whilst still retaining a wealth of Andean agricultural expertise. Indigenous communities still hold on to vestiges of traditional knowledge. Relicts of natural vegetation, traditional agriculture and agrobiodiversity continue to sustain ecosystem services. Moreover, offer livelihood options and resources for restoration. These aspects reflect a long cultural trajectory, including famous extinct cultures such as Nasca, that evolved within an ever-changing riparian and agricultural landscape influenced by external forces and which incorporated important processes of plant domestication and adaptation to climatic oscillation. Here, we present an ecosystem approach to vegetation restoration and sustainable resource management in Ica, Peru, based on wide interdisciplinary biodiversity inventory and study, where school, community and agro-industry engagement is seen as a prerequisite for success. The approach demonstrated significant plant establishment in this hyperarid region using appropriate low-technology techniques of planting and irrigation with minimum watering. Restoration of a highly degraded environment built upon vegetation relicts followed a strategy of cultural capacity building and environmental engagement, including the development of sustainable forest products, festivals, schools programmes, didactic publications for local use, and collaboration with local communities, landowners, agribusiness and governmental authorities. Plant conservation must re-engage people with their natural heritage by dissemination of information for vegetation restoration and management integrated to dynamics of ecosystem function within its wide local cultural and historical context. © 2011 The Board of Trustees of the Royal Botanic Gardens, Kew.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: peru",,,peru
