key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-335337016,"Pemon perspectives of fire management in Canaima National Park, Southeastern Venezuela",2007,1,1,,,35,3,,Rodríguez I.,,,,,"Recent research on the ecology of fire has challenged the view that the use of fire by indigenous peoples is detrimental to ecosystems and wildlife in protected areas. However, in Canaima National Park and World Heritage Site in southeastern Venezuela, since 1981 managers have employed a costly fire control program to eliminate savanna burning by the Pemon indigenous people. Here I present the results of the first study on Pemon perspectives of fire management in the park. I show that savanna burning is an important tool in indigenous land management and plays a key role in preventing large catastrophic fires. Pemon knowledge of fire also raises questions about conventional interpretations of environmental change in the park. Lastly, I recommend a fire management policy that seeks to integrate local ecological knowledge. This will require: (a) greater openness from scientists and resource managers to understanding Pemon rationale for the use of fire, (b) clarification among the Pemon themselves of their own views of fire, and (c) research partnerships among scientists, resource managers and the Pemon in order to encourage understanding of Pemon ecological knowledge of fire, and to assess its true impact in the Canaima National Park. © Springer Science+Business Media, LLC 2006.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: Venezuela,indigenous,actor focus,burning context",,
rayyan-335337017,Land-cover changes during the past 50 years in the semi-arid tropical forest region of northern peru,2012,1,1,,,66,1,,"Ektvedt T.M., Vetaas O.R., Lundberg A.",,,,,"Dry forests are under much higher pressure from deforestation than humid forests, yet less attention has been paid to these forests. To develop better management strategies, it is necessary to analyse the dynamics of these forests at different scales and to assess their potential to recover from natural or human disturbances. This study combines broad and fine scales to investigate temporal changes: at broad scale we use aerial photos (from 1949, 1962, and 1999) and GIS to document land-cover change during a long-term period of 50 years; at fine scale we use spatial gradient analyses to document changes in species composition during a short-term period of four years. Re-sampling of the same elevational gradient (100-460 m a.s.l.) provides both a spatial and temporal gradient. Plausible causal links between human impact and documented changes are evaluated by means of ordination and Monte Carlo permutation tests. Density and diversity of seedlings, juveniles, shrubs, and trees were investigated in permanent plots from 2003 to 2007 along an elevational gradient. Approximately 17% of the forest has been lost during the last 50 years; giving an annual forest decline of 0.33%. The forest degradation during the 50 years in northern Peru was mainly due to agricultural expansion. During 1949-1962 forest declined by only 1.7%, while a greater forest decline took place during 1962-1999 (15% decline). Reasons for the greater forest loss during 1962-1999 are discussed. A new agrarian land reform from 1969 and population increases are likely reasons. The gradient analyses show a clear increase in species richness and spatial turnover in species composition along the elevational gradient. The ordination analysis reveals a significant change in species composition from 2001 to 2005, and we hypothesise that this may relate to browsing and logging activities. Although the number of faeces and signs of logging did not have a significant correlation with the ordination axes, the Monte Carlo permutation test in redundancy analysis (RDA) reveals a significant effect of browsing on species composition. The changes in species richness and species composition with elevation may be due to climatic differences between the lowland and upland mountain study area, rather than different intensity of human land use. Browsing and logging activities take place quite evenly over the entire study area, rather than being restricted to a certain area. Re-sampling of the permanent plots reveals that the lowland species Prosopis pallida was the only species able to survive from seedling stage to juvenile stage during the four-year investigation period. About 30% of the Prosopis pallida seedlings developed into juveniles, which indicates that this species may be better adapted to drought than other species in this environment.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: peru,land-use history",,
rayyan-335337051,Forests expand as livestock pressure declines in subtropical South America,2019,1,1,,,24,2,,"Bernardi R.E., Buddeberg M., Arim M., Holmgren M.",,,,,"Forests, savannas, and grasslands are prevalent across the landscapes of South America. Land uses associated with these ecosystems have influenced economies from household to country scales, shaping social-ecological organization across the region since pre-Hispanic societies. Recent studies suggest that tropical and subtropical grasslands, savannas, and forests represent alternative ecosystem states. Transitions between these ecosystem states can be promoted by changes in disturbance regimes and by land uses determined by the organization of societies and their activities. We analyzed how changes in agriculture, fire, and livestock management influenced forest cover over a 45-year span (1966-2011) in the Campos region, an extensive subtropical ecotone between rain forests and grasslands of South America. We found that forests contracted in areas with high crop agriculture, whereas forests increased in those grasslands where livestock densities had been reduced. These patterns were strongly associated with soil and topographic conditions because they broadly determine the potential land productivity and use. Our results show that current land use and disturbance regimes explain the large extent of grasslands across the South American Campos and suggest that changes in land use and disturbance regimes could facilitate or prevent transitions between subtropical forests, savannas, and grasslands altering the provision of ecosystem services linked to them. © 2019 by the author(s).","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: campos,argentina",,
rayyan-335337121,The socio-ecology of the Caatinga: Understanding how natural resource use shapes an ecosystem,2018,1,1,,,,,,Melo F.P.L.,,,,,"The use of natural resources can be a main source of disturbance to natural ecosystems if human populations depend heavily on biomass to attend to their basic needs. However, our understanding of how natural resource use affects natural ecosystems is insufficient. The Caatinga is the most populated dry forest worldwide, and inhabitants depend largely on the exploitation of the natural ecosystem for several purposes such as fuelwood and raising livestock. These constitute 'chronic anthropogenic disturbances' (CAD), the impacts of which, in the long run, may compete with habitat loss and impacts on ecosystem health. In this chapter I present a theoretical framework for the assessment of the impacts of three main sources of CAD on the Caatinga. I discuss how (1) firewood harvesting, (2) raising of free ranging goats, and (3) biological invasion are all linked to changes observed in the Caatinga biota. These sources of CAD are all linked to the socio-economic condition of human populations inhabiting the Caatinga and can be understood and, to some extent, quantified through socio-economic assessments. Finally, I propose a theoretical framework on how the original features of the Caatinga ecosystem may change as a function of the intensity of CAD, leading to two alternative states of both conserved and altered similarity to the original ecosystem. Understanding natural resource use by human populations is crucial to being able to assess the threats to biodiversity and ecosystem functions properly as well as to design conservation strategies to avoid both ecosystem degradation and depletion of human livelihoods. © Springer International Publishing AG 2017.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,caatinga,farming context",,
rayyan-335337188,"Agriculture, habitat loss and spatial patterns of human occupation in a biodiversity hotspot [Agricultura, perda de hábitat e padrões espaciais de ocupação humana em um ""hotspot"" de biodiversidade]",2009,1,1,,,66,6,,"Diniz-Filho J.A.F., de Oliveira G., Lobo F., Ferreira L.G., Bini L.M., Rangel T.F.L.V.B.",,,,,"The Cerrado biome, the second largest biome in Neotropical region, consists of a mosaic of different habitat types, ranging from open grasslands to dense woodlands and dry forests. An intensive recent occupation process has transformed it into the most important region for cattle ranching and intensive commodity crops in Brazil. In this study, a macroecological approach was used to evaluate broad-scale spatial patterns of habitat loss in the Brazilian Cerrado, applying a series of spatial autocorrelation and partial regression analyses to understand how the proportion of remaining natural habitats is correlated with socio-economic variables, expressing different dimensions of human occupation and climatic variation. On average, 59% of the area is occupied by natural remnants at the spatial scale analyzed, although patterns of habitat loss are strongly spatially structured, with a Moran's I spatial autocorrelation coefficient equal to 0.825 ± 0.055 (p < 0.001). The partial regression analysis explains 89% of variation in percentage of natural remnants. The highest proportion of variance is explained by the multiple overlap between human occupation, climatic variation and geographic structure (67%), as well as by the climatically structured component of human occupation (8%). Based on the space-time interactive process of human occupation in the biome, future scenarios should be rather pessimistic. If the wave of human occupation continues towards the northern parts of the biome, as expected, we can predict that percentages will decline rapidly including even stronger losses of habitat at the biome scale.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil",,
rayyan-335337200,Indigenous and Traditional Management Creates and Maintains the Diversity of Ecosystems of South American Tropical Savannas,2022,1,1,,,10,,,"Ferreira M.J., Levis C., Chaves L., Clement C.R., Soldati G.T.",,,,,"The tropical South American savannas have been occupied and manipulated by humans since the late Pleistocene. Ecologists consider that soils, hydrology, and seasonal precipitation influence the structure and composition of plants and the fire-proneness of savannas. However, the human influence on these dynamics remains uncertain. This is because little is known about human activities and what influence they have on the diversity of ecosystems. Considering this, our study sought to synthesize the management practices used by small-scale societies of the South American savannas, compile the species that are the focus of direct management, and demonstrate the role of this management in maintaining the diverse ecosystems that make up the savannas. We also set out to test the hypotheses that forms of management differ depending on the ecosystem and cultural matrices. To do so, we conducted a systematic review, in which we collected 51 articles with information about the management carried out by small-scale societies. From this, we categorized 10 management practices directed to ecosystems: protection of the ecosystem, enrichment of species, topographic changes, increased soil fertility, cleaning, prevention of fire, resource promotion, driving of game, swidden-fallow, and maintenance of ecosystem structure. We identified 19 native plant species whose populations are managed in-situ. These management practices have proven capable of keeping savanna and grassland ecosystems open and increasing the occurrence of forest ecosystems in the mosaic, as well as favoring plants of human interest in general. We note that there is a relationship between management practices with ecosystems and cultures, which suggests that both factors influence the management of landscapes. We conclude that management practices of small-scale societies are responsible for domesticating South American tropical savannas and that these savannas are composed of a mosaic of culturally constructed niches. The small-scale societies that inhabit these environments have important traditional ecological knowledge and strategies that enable the use, conservation, and restoration of savannas, extremely threatened by agribusiness today. Systematic Review Registration: [website], identifier [registration number]. Copyright © 2022 Ferreira, Levis, Chaves, Clement and Soldati.","RAYYAN-INCLUSION: {""Jamie""=>""Included""}",,
rayyan-335337203,Seasonal fire management by traditional cattle ranchers prevents the spread of wildfire in the Brazilian Cerrado,2019,1,1,,,48,8,,"Eloy L., Schmidt I.B., Borges S.L., Ferreira M.C., dos Santos T.A.",,,,,"The use of fire by cattle ranchers is a major source of conflict between conservationists and local communities in tropical savannas. We evaluate the role of traditional pastoral management in wildfire prevention in two protected areas within the Brazilian savanna. Fine-grain field data from transect walks and interviews were combined with geospatial data at landscape scale to compare fire regimes in community-managed areas with those in government-managed areas. Local pastoral management creates seasonal mosaic patterns of burnings performed for productive activities and for deliberate landscape management, i.e. to protect fire-sensitive vegetation and avoid wildfires. Whereas government-managed areas were affected by large biennial late dry season wildfires, community-managed areas with a regular fire regime suffered less damage. These systems are under threat and poorly understood by researchers and environmental managers. In order to improve fire management in tropical savannas, greater understanding of pastoral management practices and their spatiotemporal dimensions is required. © 2018, Royal Swedish Academy of Sciences.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,
rayyan-335337249,Faunal resource use by the Chimane of eastern Bolivia: policy notes on a biosphere reserve,1995,1,1,,,,,,Chicchon A.,,,,,"Describes patterns of land and resource use in forest, savanna, and river ecosystems by three different settlements of Chimane. They inhabit the multiple use zone of the Beni Biosphere Reserve in Bolivia. This reserve was arranged by Conservation International as a debt-for-nature swap. It has a management plan that integrates the interests of both conservationists and indigenes. Also discusses the policy implications of these research findings for the conservation of biodiversity and sustainable development of the economy of local peoples, emphasizing that these needs must be considered by planners and administrators of protected areas. -from Editor","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: bolivia",,
rayyan-335337266,"Fire regime in the Brazilian Savanna: Recent changes, policy and management",2020,1,1,,,268,,,"Schmidt I.B., Eloy L.",,,,,"In 2019 Brazil recorded the highest wildland fire occurrence South America has seenfor the last 15 years. Added to the Amazon, the Brazilian savanna (Cerrado) faces changes in fire regimes. Climatic changes and the recent weakening of environmental law enforcement are factors, but historic and large-scale trends and drivers of fire regimes must be analyzed. We discuss ecological and policy drivers of recent changes in fire regimes in the Cerrado, in order to highlight management strategies. The Cerrado has evolved with natural fires and anthropogenic fires are also common for millennia. In the past 50 years, wildfires tend to be concentrated in the late dry season and to occur every two / three years, causing serious damage in fire-sensitive vegetation. Apart from climatic variations, the drivers of wildfires are deforestation and fire suppression policies. Nearly half of the original vegetation of the Cerrado biome has disappeared largely due to agribusiness expansion. Fire is associated with deforestation in two ways: vegetation conversion to monocultures, and lack of fire management in the remaining native vegetation. Indeed, the attempts to exclude fires from this fire-prone ecosystem disrupted traditional fire management. Fire suppression policies lead to increased wildfire risks due to fuel load and the multiplication of sources of ignition (conflicts, roads). The recent advances in Integrated Fire Management in protected areas in the Cerrado are evident. However, the recent budget cuts by the Brazilian government in environmental management and research undermine the chances of decreasing occurrences of wildfires in this biodiversity hotspot. © 2020 Elsevier GmbH","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: fire,brazil,cerrado",,
rayyan-335337303,"An evaluation of contemporary savanna fire regimes in the Canastra National Park, Brazil: Outcomes of fire suppression policies",2018,1,1,,,205,,,"Batista E.K.L., Russell-Smith J., França H., Figueira J.E.C.",,,,,"Fire has shaped plant evolution and biogeochemical cycles for millions of years in savanna ecosystems, but changes in natural fire regimes promoted by human land use threaten contemporary conservation efforts. In protected areas in the Brazilian savannas (Cerrado), the predominant management policy is fire suppression, reflecting a cultural heritage which considers that fire always has a negative impact on biodiversity. Here we compare resultant fire-regimes in Canastra National Park (CNP), southeast Brazil, associated with areas under and without fire suppression management, based on a 16-year Landsat imagery record. In open grasslands of the Canastra plateau (CP), firefighting is undertaken under government-sanctioned regulation, whereas in the Babilonia sector, non-sanctioned fire management is undertaken by small farmers to promote cattle grazing and cropping. Fire regimes in the Canastra sector are characterized by few, very large, late dry season wildfires recurring at intervals of two years. Fire regimes in lowlands of the Babilonia sector are characterized by many small-scale, starting at the beginning of the dry season (EDS). In Babilonia uplands fire regimes are characterized by higher frequencies of large fires. The study illustrates major challenges for managing fire-prone areas in conflict-of-interest regions. We suggest that management planning in CNP needs to effectively address: i) managing conflicts between CNP managers and local communities; and ii) fire management practices in order to achieve more ecologically sustainable fire regimes. The study has broader implications for conservation management in fire-prone savannas in South America generally. © 2017 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,southeastern",,
rayyan-335337319,South America's neoliberal agricultural frontiers: Places of environmental sacrifice or conservation opportunity?,2009,1,1,,,38,3,,Brannstrom C.,,,,,"Neoliberal agricultural frontiers, defined as export-orient ed farming areas motivated more by global demand and land privatization than by government subsidies, present at least two major challenges for environmental researchers: estimating land change and understanding governance types and outcomes. Environmental governance, the ""filter"" between human and biophysical systems, is considered in terms of two models in light of empirical evidence from a neoliberal frontier in the Brazilian Cerrado (savanna) ecoregion. Land-change analysis indicates that agricultural land uses increased from 12% of the study region in 1986 to 44% in 2000 and 55% in 2005, with a corresponding loss of native Cerrado. A prominent farming organization formed in 1990 has participated in or led several environmental policy initiatives. Evidence of both governance models is found, and dilemmas facing environmental activists and managers, as well as the farming sector, are presented. For organizations representing large commercial farmers, compliance with environmental regulations may be seen as both a cost to be borne by the farming sector and as a means to establish environmental credentials. Suggestions are made for future longitudinal work on compliance, information, agenda-setting, and discursive strategies of nonstate actors in neoliberal frontiers. © Royal Swedish Academy of Sciences 2009.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado,farming context",,
rayyan-335337397,Environmental justice and the construction of scale in Brazilian agriculture,2008,1,1,,,21,7,,Wolford W.,,,,,"In Brazil, one of the most pressing issues for environmental justice scholars (and movements) is unequal access to land. Over the past 20 years, people have mobilized collectively to demand both access to resources (distributional equity) and the right to participate in decisions over their distribution (procedural equity). In this article, I analyze the recent development of large-scale soybean production in the Brazilian cerrado. I argue that distributional inequities in the cerrado have been produced through a state-led process of development that favored large farms and modern, agro-industrial development. Popular discourse, however, fetishizes the efficiencies that accrue to large-scale agriculture, naturalizing the comparative advantage of wealthy farmers and erasing the importance of the state and geopolitical context for development in the region.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado,land tenure",,
rayyan-335337406,Indigenous fire management in the cerrado of Brazil: The case of the Krahô of Tocantíns,2005,1,1,,,33,3,,"Mistry J., Berardi A., Andrade V., Krahô T., Krahô P., Leonardos O.",,,,,"Indigenous peoples have been using fire in the cerrado (savannas) of Brazil as a form of management for thousands of years, yet we have little information on why, when and how these fire practices take place. The aim of this paper was to explore the traditional use of fire as a management tool by the Krahô indigenous group living in the north-eastern region of Tocantíns state, Brazil. The results indicate that the Krahô burn for a variety of reasons throughout the dry season, thereby producing a mosaic of burned and unburned patches in the landscape. The paper discusses this burning regime in the context of contemporary issues regarding fire management, and in the face of changing perceptions to fire by the Krahô themselves. © 2005 Springer Science + Business Media, Inc.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil",,
rayyan-335337481,On the cutting edge of the Brazilian Frontier: New (and old) agrarian questions in the South Central Amazon,2008,1,1,,,35,1,,"de Souza Mello Bicalho A.M., Hoefle S.W.",,,,,"The focus of this analysis is the zone of the Brazilian Amazon where the greater frontier has arrived from Rondônia and Mato Grosso states, where new productive systems and environmental and land colonisation policies have resulted in a complex agrarian structure. This ranges from traditional riverine peasant farms to agribusiness enterprises, which co-exist or interact economically, but as yet have not become embroiled in conflict. A Leninist model of agrarian transformation prevails in rice-soybeans-beef production in savannah areas, and a Kautskian model in the livestock ranching of the forested areas. The latter trend may develop into a Leninist pattern in the future, due to environmental policy and limits to land concession which generate land ownership concentration, thereby frustrating land reform policy.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil",,
rayyan-335337484,Smokey the tapir: Traditional fire knowledge and fire prevention campaigns in lowland Bolivia,2005,1,1,,,18,10,,"McDaniel J., Kennard D., Fuentes A.",,,,,"Severe wildfires devastated the southeastern Bolivian lowlands during 1999-2001. In response, the Bolivian government instituted an education campaign to reduce rural burning. Working with Chiquitano Indians in the southeastern lowlands, we were interested in finding out (1) the level of knowledge of fire behavior and the ecological role of fire in shaping forest and savannah ecosystems, and (2) current attitudes in Lomerio toward fire as a land management tool. We conducted key informant interviews in the Chiquitano territory of Lomerio to document Chiquitano knowledge of and attitudes toward fire practices. Informants expressed knowledge of fire behavior and effects, recognizing the effects of wind, relative humidity, and fuel moisture on fire intensity, and the effects of fire intensity on soil fertility. Informants revealed a complex understanding of the role of fire in maintaining the structure and composition of savannahs and how fire interacts with changing cattle production, climatic, and demographic conditions. Copyright © 2005 Taylor & Francis Inc.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: bolivia,indigenous,farming context",,
rayyan-335337596,"Exploring the links between natural resource use and biophysical status in the waterways of the North Rupununi, Guyana",2004,1,1,,,72,3,,"Mistry J., Simpson M., Berardi A., Sandy Y.",,,,,"The North Rupununi District in south-west Guyana is comprised of a mosaic of ecosystems, including savannas, wetlands and forests, and is home to the Makushi Amerindians, who depend on the waterways for their subsistence needs. With logging and mining seen as increasing threats to the region, it is necessary to look at methods for engaging stakeholders in monitoring the status of their natural resources. This paper presents the results of a pilot study carried out to investigate water use by the Makushi Amerindians, and collect baseline data on the hydro-morphological aspects of the waterways. Methods included informal interviews, the use of the River Habitat Survey (RHS), and water quality measurements. The results indicate the heavy reliance of the Makushi on the waterways for their daily lives, particularly on fishing. Although ponds and creeks are important sources of fish, the rivers provide much larger catches of a greater diversity of fish species, both in the wet and dry seasons. The physical characteristics of the water sources used by the Makushi are mainly associated with the surrounding habitat types: The savanna areas containing the more nutrient rich white-water rivers, and the tropical forest areas containing the less nutrient rich black-water rivers. This study indicates that at present there is no direct evidence of adverse impacts on the waterways used by the Makushi in terms of fish catches, habitat conditions and water quality. A monitoring scheme was set up using this study's outputs as a baseline from which any future changes can be compared. Further work is to be carried out over the next three years to produce monitoring and sustainable management procedures for the North Rupununi ecosystems, by linking the physical attributes of the environment to biodiversity and subsequently local livelihoods, and by building capacity of local stakeholders through training. © 2004 Elsevier Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: guyana",,
rayyan-335337601,"Total historical land-use change in eastern Bolivia: Who, where, when, and how much?",2008,1,1,,,13,1,,"Killeen T.J., Guerra A., Calzada M., Correa L., Calderon V., Soria L., Quezada B., Steininger M.K.",,,,,"We documented the history of land-use change and migration in eastern Bolivia in five temporal periods: pre-1976, 1976-1986, 1986-1991, 1991-2001, and 2001-2004. We included all land-cover types located below the natural montane tree line (∼3000 m), including forest, savanna, scrubland, seasonal wetland, second-growth forest, pasture, and cropland. The rate of land-use change has increased from approximately 4.7 × 104 ha/yr in the 1960s to &gt; 2.9 × 105 ha/yr in the most recent period: Land-use change was quantified for 10 groups within which cultural traditions and production systems are shared, including three nonmechanized indigenous groups, four mechanized farming groups, two cattle ranching groups, and the forest products sector. Mechanized Cruceño farmers and Andean indigenous colonists were responsible for most land-use change in the 1960s and 1970s; deforestation by the latter group increased to twice that by all other groups during 1986-1991, declined in the 1990s, and then increased again in the most recent period. In the last 15 years, land-use change by agro-industrialists specializing in soybean has become important, and cattle ranching based on cultivated pastores has surpassed land use by all other groups. When the rates of change increased for the three indigenous nonmechanized groups, they tended to decrease for the four nonindigenous mechanized groups, and vice versa. Copyright © 2008 by the author(s).","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,demography,land-use history",,
rayyan-335337720,Environmental impact analysis of Brazil's southern region canola oil production,2021,1,1,,,,,,"Costa T.D.S., Caldeira-Pires A., Silveira E.A., Cardoso A.N., Kovaleski S., De Gouvea J.",,,,,"Canola (Brassica napus) oilseed can be grown in tropical regions, such as Brazil's low-latitude savannas. A considerable part of South America's tropical and subtropical grain production regions can meet the growing world demand for products derived from this grain, such as proteins and high-quality oil. Brazil's southern region concentrates most of canola research and production, especially in the states of Rio Grande do Sul and Paraná. This centralization is fostered by the existence and proximity of industries that process grains, having easy access to cultivation and marketing techniques. The potential to compose crop rotation systems in the off-season and autumnwinter periods is another important factor. This possibility allowed the canola seed tropicalization and the crop expansion to subtropical regions such as the cerrado of Minas Gerais, Brazil. Thus, the present work's objective is elaborating a life cycle inventory (LCI) of canola production in the South of Brazil, considering its two main products, oil and bran. The life cycle inventory (ISO 14040 standards) involves collecting data and calculation procedures to quantify the production system's relevant inputs and outputs. The system's limits include canola agricultural production up to the vegetable oil extraction unit's outlet gate, a cradle-to-gate analysis. This study applies this methodology to evaluate the hotspots (critical points) that most contribute to the oil production chain's environmental impacts. The LCI preliminary results show that the agricultural phase has a fundamental role in the environmental impacts, standing out the emissions associated with the chemical fertilizers and diesel oil for transporting and harvesting. In the stages of drying the grains, extracting and degumming the oil, firewood is used to generate heat and steam, proving the environmental relevance of biomass for the generation of energy compared to the fossil fuels burning. Results show that reducing chemical fertilizers consumption and introducing alternative fuel on farms has paramount importance to make the canola oil and other oilseeds production more environmentally sustainable. © 2021, ETA-Florence Renewable Energies. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,farming context",,
rayyan-335337726,Sustainability and profitability of aerobic rice production in Brazil,2006,1,1,,,97,1,,"Pinheiro B.D.S., Castro E.D.M.D., Guimarães C.M.",,,,,"Brazilian savannas or ""cerrados"", which cover an area of 200 million ha, possess a high potential for agricultural production. Upland rice has been used as a pioneer crop to open these areas for cultivation, and covered an area of more than 4.5 million ha during the 1970s and 1980s. The cultivars used in this system were tall, japonica types, with good tolerance to drought stress and a traditional bold grain type. Subsequently, the shift of rice to more favorable production zones and a change in consumer grain preference has required the development of a new class of aerobic rice cultivars. These were derived from crosses between upland and lowland cultivars, and they combine adaptation to unflooded (aerobic) soils with responsiveness to applied inputs. Crop financing policies take into consideration the climatic risk for different savannah micro-regions, which has been established using water balance models and GIS. Research recommendations have been developed to minimize climatic risk through appropriate date of planting and choice of variety. New varieties, japonica × indica derivatives, with improved plant type and duration and with desirable grain appearance and cooking behavior, provide an economically attractive option for farmers in stable cropping systems. Such varieties have been adopted by farmers both as a regular component of grain cropping systems and as a crop to assist in renewal of degraded pasture. These aerobic rice systems help meet national demand for rice without the levels of water use and investment in infrastructure required for irrigated lowland rice production. © 2005 Elsevier B.V. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""}",,
rayyan-335337732,Conservation polices and control of habitat fragmentation in the brazilian cerrado biome,2013,1,1,,,16,3,,"Ganem R.S., Drummond J.A., Franco J.L.D.A.",,,,,"The Brazilian Cerrado is the most bio-diverse and threatened savannah on the planet. This biome has already lost 48.2 percent of its original floral cover and is being affected by an intense process of habitat fragmentation. The purpose of this article is to verify if and how governmental and non-governmental conservation measures are protecting the remaining native Cerrado vegetation and whether these measures are encouraging connectivity. Results show that the effects of conservation units are limited, since only 3.1 percent of the biome is within fully protected areas. It was also found that public agencies are much more involved in conservation planning than actions in the field. Conservation projects are often implemented in the same territories, leading to the squandering of resources and ineffective results. Another problem is that many projects are dependent on international organizations and resources. Conservation initiatives in areas under private ownership are rare and economic or fiscal incentives that support such initiatives are sporadic and inadequate. The article concludes by suggesting that the Cerrado should become the focus of specific conservation policies, integrating governments, civil society and economic sectors and actors, especially farmers.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,
rayyan-339918837,The dying Mexican tropical dry forest: Finding treasures among the ruins,2000,1,1,,,1,3,,"Sánchez-Vélez A., García-Núñez R.M.",,,,,"For centuries the tropical dry forests in Mexico have been the best and sometimes the only source of energy-providing fuelwoods, ritual and medicinal resources, decorative plantstuffs, construction materials, pasture lands, and, of course, food for its human inhabitants. Long dependent on the forest for day-to-day sustenance, rural dwellers now find the forest dependent on them for its very survival because the few small patches of typical primary tropical dry forest that still exist are rapidly disappearing. This disappearance parallels the loss of coastal dry forests in Brazil, the invasion of Costa Rican dry forests by alien grass, and the threats to Mediterranean dry forests. Despite the erosion of tropical dry forests around the world, rain forests continue to get most of the attention. These authors turn our attention to the plight of this unique ecosystem and offer for consideration a multi-faceted plan to use its germplasm and genetic resources to reclaim some of its lost domain and to insure a proper accounting of its true value. © 2000 Taylor & Francis Group, LLC.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: mexico",,
rayyan-339918850,Habitat use and feeding behavior of domestic free-ranging goats in a seasonal tropical dry forest,2021,1,1,,,190,,,"Jamelli D., Bernard E., Melo F.P.L.",,,,,"Traditional pastoralism based on free-ranging goats is indispensable for the rural economy of millions of people in the Brazilian Caatinga drylands. The use of landscape as rangelands for domestic herbivores benefits humans, but understanding its impacts on vegetation is crucial to sustainable strategies. Here we assessed how free-ranging domestic goats use mixed working landscapes in the largest dry forest of the Americas. We evaluated habitat use via GPS tracking and analysis of feeding preferences. Goats preferentially used open areas near human settlements and their impact on plant community may be negligible because they feed mostly on plants widely available in modified environments. Although free-ranging, the area of use was nearly constant (95.44 ha), but the size of herds varied (2–100 animals). Our study suggests that domestic goats can be considered dwellers of human-modified landscapes, foraging close to villages, on open (i.e., degraded) areas where abundant plant species thrive. Therefore, the extensive goat pastoralism in the Caatinga may have little impact on natural vegetation and could be sustainably managed under traditional management practices. © 2021 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazi,caatinga",,
rayyan-339918874,Balancing food production and nature conservation in the Neotropical dry forests of northern Argentina,2008,1,1,,,14,5,,"Grau H.R., Gasparri N.I., Aide T.M.",,,,,"The growing human population and the increase in per capita food consumption are driving agriculture expansion and affecting natural ecosystems around the world. To balance increasing agriculture production and nature conservation, we must assess the efficiency of land-use strategies. Soybean production, mainly exported to China and Europe, has become the major driver of deforestation in dry forest/ savanna ecosystems of South America. In this article we compared land cover patterns (based on satellite imagery) and land-use and human population trends (based on government statistics) in regions with two contrasting development pathways in the Chaco dry forests of northern Argentina, since the early 1970s. The area (ca. 13 million hectares) includes one of the largest continuous patches of tropical dry forests and has experienced rapid land-use change. In the region where land use has been driven by government-sponsored colonization programs, the expansion of extensive grazing has led to a growing rural population, low food production, and widespread environmental degradation. In contrast, in the region dominated by market-driven soybean expansion, the rural population has decreased, food production is between 300% and 800% greater, and low-density extensive cattle production has declined over extensive remaining forested areas, resulting in a land-use trend that appears to better balance food production and nature conservation. © 2008 The Authors Journal compilation © 2008 Blackwell Publishing Ltd.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,argentina,land use pathways",,
